SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Volume,Deliverable Volume,%Deliverble,Descripency Detail,Descripency,3 day price
JUBLFOOD,2022-06-01,EQ,550.95,550.95,564.55,550.4,555.6,3454296,711901,20.61,-,0,0
JSWSTEEL,2022-05-30,EQ,548.4,530.0,544.75,525.6,537.7,12211769,2362308,19.340000000000003,-,0,0
JSWSTEEL,2022-05-31,EQ,538.85,537.6,558.3,532.2,555.25,20152169,10700860,53.1,-,0,0
JSWSTEEL,2022-06-01,EQ,551.25,554.05,572.35,549.2,570.9,8495547,1686076,19.85,-,0,0
ITC,2022-05-30,EQ,269.2,270.5,271.0,267.6,269.0,11819102,6178050,52.27,-,0,0
ITC,2022-05-31,EQ,269.05,269.05,274.5,266.4,271.2,23208345,12973848,55.900000000000006,-,0,0
ITC,2022-06-01,EQ,270.65,270.65,274.1,270.2,271.5,14699792,7919917,53.88,-,0,0
IOC,2022-05-30,EQ,114.15,115.25,116.25,114.05,116.1,8148419,3019794,37.06,-,0,0
IOC,2022-05-31,EQ,116.1,115.7,117.5,115.5,116.15,13283897,7196663,54.18000000000001,-,0,0
IOC,2022-06-01,EQ,116.0,117.0,119.05,116.75,118.3,11124014,3884019,34.92,-,0,0
INFY,2022-05-30,EQ,1461.35,1487.0,1530.0,1485.0,1529.0,10904213,7351138,67.42,-,0,0
INFY,2022-05-31,EQ,1526.8,1510.7,1518.0,1488.15,1510.0,16033857,10278901,64.11,-,0,0
INFY,2022-06-01,EQ,1503.6,1513.0,1514.75,1472.1,1487.0,8738508,5418165,62.0,-,0,0
INDUSTOWER,2022-05-30,EQ,200.45,202.0,203.65,200.2,200.6,1148579,410828,35.77,-,0,0
INDUSTOWER,2022-05-31,EQ,200.45,202.0,203.15,199.85,201.9,3687446,2127385,57.69,-,0,0
INDUSTOWER,2022-06-01,EQ,201.8,203.0,205.8,200.0,201.3,1804341,677570,37.55,-,0,0
INDUSINDBK,2022-05-30,EQ,925.4,936.0,946.45,932.1,935.0,2036338,583247,28.64,-,0,0
INDUSINDBK,2022-05-31,EQ,936.2,926.0,939.95,926.0,929.0,1249259,356848,28.560000000000002,-,0,0
INDUSINDBK,2022-06-01,EQ,930.85,930.85,938.35,918.7,931.5,1144864,297678,26.0,-,0,0
INDIGO,2022-05-30,EQ,1821.85,1821.85,1835.0,1787.7,1810.35,620207,120485,19.43,-,0,0
INDIGO,2022-05-31,EQ,1808.9,1810.0,1849.45,1785.6,1840.0,987688,405316,41.04,-,0,0
INDIGO,2022-06-01,EQ,1838.55,1865.95,1880.0,1816.1,1822.4,558609,103147,18.46,-,0,0
ICICIPRULI,2022-05-30,EQ,529.3,531.0,535.0,526.85,528.55,576915,227875,39.5,-,0,0
ICICIPRULI,2022-05-31,EQ,530.4,527.9,534.05,515.55,521.75,4200943,3248452,77.33,-,0,0
ICICIPRULI,2022-06-01,EQ,521.6,521.6,551.95,521.6,549.15,3568640,932049,26.119999999999997,-,0,0
ICICIGI,2022-05-30,EQ,1260.2,1265.0,1294.55,1260.3,1292.75,351575,182257,51.84000000000001,-,0,0
ICICIGI,2022-05-31,EQ,1290.3,1285.6,1299.95,1244.2,1254.15,2109279,1552198,73.59,-,0,0
ICICIGI,2022-06-01,EQ,1265.85,1267.95,1267.95,1243.0,1252.2,469989,343932,73.18,-,0,0
ICICIBANK,2022-05-30,EQ,739.8,748.75,751.95,744.3,749.5,7628515,4519178,59.24,-,0,0
ICICIBANK,2022-05-31,EQ,748.5,741.0,756.7,740.5,748.5,20272212,15358824,75.76,-,0,0
ICICIBANK,2022-06-01,EQ,752.85,748.0,755.6,744.2,752.95,10102092,6399061,63.34000000000001,-,0,0
HINDUNILVR,2022-05-30,EQ,2330.6,2342.2,2365.0,2331.0,2347.0,939562,460618,49.02,-,0,0
HINDUNILVR,2022-05-31,EQ,2348.95,2360.0,2367.9,2303.9,2348.9,3123979,2099257,67.2,-,0,0
HINDUNILVR,2022-06-01,EQ,2353.25,2370.0,2413.8,2302.0,2306.9,2197599,1080496,49.17,-,0,0
HINDALCO,2022-05-30,EQ,409.15,410.0,419.5,405.6,416.05,7161082,1518444,21.2,-,0,0
HINDALCO,2022-05-31,EQ,416.75,414.9,428.5,412.0,427.0,39115757,25065952,64.08,-,0,0
HINDALCO,2022-06-01,EQ,422.55,421.0,422.0,406.2,410.4,12551513,4047037,32.24,-,0,0
HEROMOTOCO,2022-05-30,EQ,2719.8,2724.0,2787.45,2724.0,2775.5,924244,415346,44.94,-,0,0
HEROMOTOCO,2022-05-31,EQ,2770.55,2774.9,2809.95,2752.15,2790.0,1859231,1118824,60.18,-,0,0
HEROMOTOCO,2022-06-01,EQ,2773.9,2799.9,2799.9,2731.5,2758.0,430807,142982,33.19,-,0,0
HDFCLIFE,2022-05-30,EQ,598.1,605.65,613.4,599.3,607.0,5399271,3022335,55.98,-,0,0
HDFCLIFE,2022-05-31,EQ,608.9,607.0,607.5,596.1,599.0,5609885,4000110,71.3,-,0,0
HDFCLIFE,2022-06-01,EQ,598.95,598.95,609.0,596.65,608.0,4893225,3352951,68.52,-,0,0
HDFCBANK,2022-05-30,EQ,1392.05,1410.25,1420.5,1398.45,1401.0,6312337,3770222,59.73,-,0,0
HDFCBANK,2022-05-31,EQ,1401.55,1395.9,1404.8,1380.0,1384.0,6742694,4400633,65.27,-,0,0
HDFCBANK,2022-06-01,EQ,1388.95,1380.0,1400.45,1379.15,1396.1,6045948,3461082,57.25,-,0,0
HDFCAMC,2022-05-30,EQ,1807.2,1820.9,1843.75,1809.2,1835.0,731502,493248,67.43,-,0,0
HDFCAMC,2022-05-31,EQ,1835.3,1826.8,1945.2,1808.15,1858.15,6788518,4237730,62.419999999999995,-,0,0
HDFCAMC,2022-06-01,EQ,1896.8,1855.0,1888.65,1835.0,1855.1,675732,334932,49.57,-,0,0
HDFC,2022-05-30,EQ,2330.4,2367.8,2388.0,2362.3,2367.0,5423558,4074162,75.12,-,0,0
HDFC,2022-05-31,EQ,2367.25,2328.0,2334.2,2287.9,2295.0,6282851,4044639,64.38,-,0,0
HDFC,2022-06-01,EQ,2306.75,2314.0,2335.65,2292.35,2331.95,2982569,1922063,64.44,-,0,0
HCLTECH,2022-05-30,EQ,1003.9,1019.0,1053.35,1015.65,1042.0,3562969,1825869,51.24999999999999,-,0,0
HCLTECH,2022-05-31,EQ,1039.9,1045.0,1045.8,1020.45,1041.25,5185485,3324457,64.11,-,0,0
