,SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency,V AVERAGE
167,BOSCHLTD,2022-06-21,EQ,13286.2,13345.0,13730.05,13304.35,13668.05,13662.2,13575.11,14668,19911971465000.0,4476,4136,28.2,-,0,0.391
94,M&M,2022-06-20,EQ,997.65,1005.0,1008.0,979.1,983.5,982.7,988.58,3722583,368005872645000.0,90773,2437605,65.48,-,0,0.39
95,M&M,2022-06-21,EQ,982.7,982.7,1004.75,981.8,996.45,997.95,997.37,6263423,624693610270000.0,66702,4785901,76.41,-,0,0.39
36,TORNTPHARM,2022-06-20,EQ,2757.9,2730.5,2773.0,2718.4,2772.35,2766.35,2748.92,60592,16656245669999.998,8840,12335,20.36,-,0,0.389
37,TORNTPHARM,2022-06-21,EQ,2766.35,2787.1,2838.2,2770.0,2829.8,2823.6,2807.01,134698,37809797030000.0,13454,78396,58.20000000000001,-,0,0.389
134,HDFC,2022-06-20,EQ,2052.7,2063.45,2139.85,2062.1,2133.35,2135.25,2111.55,5845204,1234244763330000.0,143983,3666079,62.72,-,0,0.387
135,HDFC,2022-06-21,EQ,2135.25,2147.1,2192.05,2138.65,2172.0,2174.7,2171.05,3407154,739710049470000.0,141099,2356658,69.17,-,0,0.387
138,HAVELLS,2022-06-20,EQ,1069.65,1069.65,1085.0,1057.45,1072.9,1071.2,1071.96,602545,64590450465000.0,26116,240022,39.83,-,0,0.387
139,HAVELLS,2022-06-21,EQ,1071.2,1093.0,1108.5,1074.0,1105.0,1105.95,1097.77,590641,64838758095000.01,23851,227936,38.59,-,0,0.387
90,MARUTI,2022-06-20,EQ,7688.15,7699.8,7784.1,7626.0,7669.9,7660.95,7702.39,1043423,803684930030000.0,90767,588672,56.42,-,0,0.382
91,MARUTI,2022-06-21,EQ,7660.95,7714.95,7840.0,7625.15,7784.95,7780.6,7778.85,954884,742789675005000.0,97203,577545,60.48,-,0,0.382
122,ICICIBANK,2022-06-20,EQ,686.85,686.0,687.8,677.6,685.7,685.95,683.78,10981042,750859540860000.0,145020,5455705,49.68,-,0,0.382
123,ICICIBANK,2022-06-21,EQ,685.95,690.55,708.0,688.6,695.5,696.1,698.88,13319648,930880664495000.0,212532,7847958,58.92000000000001,-,0,0.382
164,BPCL,2022-06-20,EQ,301.0,304.0,304.5,294.0,295.9,296.05,298.29,3728409,111216418980000.0,48372,1410150,37.82,-,0,0.382
165,BPCL,2022-06-21,EQ,296.05,296.65,302.45,293.35,301.8,301.2,299.05,2801829,83789968455000.0,40891,800305,28.56,-,0,0.382
150,DIVISLAB,2022-06-20,EQ,3481.95,3481.0,3539.95,3452.05,3534.0,3533.55,3502.35,247790,86784790105000.0,34849,90166,36.39,-,0,0.381
151,DIVISLAB,2022-06-21,EQ,3533.55,3540.0,3613.9,3540.0,3600.15,3599.5,3589.69,315204,113148616884999.98,28310,128039,40.62,-,0,0.381
38,TITAN,2022-06-20,EQ,1936.45,1938.0,1973.45,1905.45,1966.9,1961.7,1944.16,1967950,382600183660000.0,103825,745179,37.87,-,0,0.38
39,TITAN,2022-06-21,EQ,1961.7,1979.9,2093.75,1966.5,2079.95,2078.1,2058.38,3289922,677190284440000.0,148907,831142,25.260000000000005,-,0,0.38
142,EICHERMOT,2022-06-20,EQ,2604.8,2600.0,2661.9,2599.95,2626.6,2623.25,2636.69,717655,189223239025000.0,51772,387329,53.97,-,0,0.378
143,EICHERMOT,2022-06-21,EQ,2623.25,2642.2,2711.0,2632.15,2700.0,2702.8,2677.57,1177839,315374117100000.0,33884,812866,69.01,-,0,0.378
48,TATACONSUM,2022-06-20,EQ,711.65,718.45,722.75,705.0,715.55,716.85,714.68,1028878,73532008510000.0,38369,341233,33.17,-,0,0.371
49,TATACONSUM,2022-06-21,EQ,716.85,720.0,733.0,720.0,727.0,727.25,727.48,816577,59404210485000.0,22771,219041,26.82,-,0,0.371
130,HDFCLIFE,2022-06-20,EQ,550.8,551.0,558.45,545.85,553.5,553.15,553.56,1278783,70788507640000.0,59197,417539,32.65,-,0,0.37
131,HDFCLIFE,2022-06-21,EQ,553.15,555.4,565.8,555.0,563.45,564.45,562.36,982122,55230217415000.0,44259,345666,35.2,-,0,0.37
128,HEROMOTOCO,2022-06-20,EQ,2467.4,2455.1,2501.45,2433.9,2453.05,2452.55,2468.16,377385,93144748110000.0,25728,48470,12.840000000000002,-,0,0.369
129,HEROMOTOCO,2022-06-21,EQ,2452.55,2465.0,2524.85,2465.0,2497.0,2499.2,2496.88,381831,95338744125000.0,26015,139015,36.41,-,0,0.369
102,KOTAKBANK,2022-06-20,EQ,1673.6,1673.6,1689.85,1652.0,1679.8,1679.2,1672.93,1767577,295703970735000.0,57332,1021416,57.79,-,0,0.368
103,KOTAKBANK,2022-06-21,EQ,1679.2,1690.0,1709.0,1672.55,1683.6,1681.5,1689.3,2503603,422933000820000.0,61549,1527718,61.02000000000001,-,0,0.368
28,WIPRO,2022-06-20,EQ,405.2,409.0,417.9,404.15,417.85,414.65,409.78,10375419,425167923540000.0,195762,4409850,42.5,-,0,0.367
29,WIPRO,2022-06-21,EQ,414.65,420.0,426.75,416.65,425.4,425.15,423.27,6093902,257939090580000.03,138487,1991589,32.68,-,0,0.367
62,RELIANCE,2022-06-20,EQ,2590.0,2605.0,2617.1,2521.1,2542.9,2543.05,2552.96,5568825,1421698937165000.0,228914,2410448,43.28,-,0,0.366
63,RELIANCE,2022-06-21,EQ,2543.05,2560.0,2593.4,2528.3,2582.0,2584.1,2562.46,5408801,1385982757620000.0,219641,1906058,35.24,-,0,0.366
120,ICICIGI,2022-06-20,EQ,1113.2,1120.95,1129.0,1106.25,1126.85,1126.35,1121.94,388341,43569618690000.0,28980,235596,60.67,-,0,0.359
121,ICICIGI,2022-06-21,EQ,1126.35,1135.0,1148.6,1131.9,1143.0,1141.0,1141.78,280231,31996092780000.0,20968,132298,47.21,-,0,0.359
26,ZYDUSLIFE,2022-06-20,EQ,335.7,336.5,336.95,329.8,335.0,334.5,333.0,942146,31373897380000.0,18433,368091,39.07,-,0,0.356
27,ZYDUSLIFE,2022-06-21,EQ,334.5,334.05,347.0,334.05,346.55,346.1,342.51,604029,20688744870000.0,9436,160798,26.62,-,0,0.356
34,ULTRACEMCO,2022-06-20,EQ,5177.3,5179.0,5347.45,5161.8,5330.0,5333.3,5273.79,506142,266928579165000.0,45714,172974,34.17,-,0,0.356
35,ULTRACEMCO,2022-06-21,EQ,5333.3,5355.0,5433.0,5262.05,5419.5,5418.9,5388.67,292408,157568891015000.0,32696,96269,32.92,-,0,0.356
184,ASIANPAINT,2022-06-20,EQ,2580.2,2600.0,2673.35,2588.35,2657.95,2660.7,2632.35,1595360,419955228015000.0,123339,603018,37.8,-,0,0.356
185,ASIANPAINT,2022-06-21,EQ,2660.7,2674.95,2710.0,2640.0,2681.85,2678.35,2686.22,1042074,279924417255000.03,66546,468489,44.96,-,0,0.356
78,NTPC,2022-06-20,EQ,140.45,140.45,141.4,135.0,138.15,137.25,137.42,16578770,227832952165000.0,77576,7476682,45.1,-,0,0.352
79,NTPC,2022-06-21,EQ,137.25,138.2,141.25,137.75,140.0,139.95,139.41,51398446,716560202660000.0,80287,35645079,69.35,-,0,0.352
110,IOC,2022-06-20,EQ,104.2,105.1,105.45,101.55,103.35,103.05,103.11,12775588,131726959334999.98,68144,4133280,32.35,-,0,0.351
111,IOC,2022-06-21,EQ,103.05,104.05,106.25,103.55,106.2,105.75,105.04,9446372,99223418000000.0,65776,3739373,39.59,-,0,0.351
54,SIEMENS,2022-06-20,EQ,2323.55,2324.0,2343.05,2269.35,2287.2,2284.6,2291.04,120320,27565853275000.0,16112,44735,37.18,-,0,0.35
55,SIEMENS,2022-06-21,EQ,2284.6,2296.0,2354.3,2289.0,2335.95,2346.6,2338.04,145975,34129519580000.0,14046,63261,43.34,-,0,0.35
196,ACC,2022-06-20,EQ,2055.1,2055.0,2085.55,2047.15,2063.95,2060.4,2066.56,446187,92207064550000.0,15845,221230,49.58,-,0,0.35
197,ACC,2022-06-21,EQ,2060.4,2067.0,2090.05,2058.05,2085.0,2086.25,2073.37,290807,60294926525000.0,11507,136927,47.09,-,0,0.35
170,BHARTIARTL,2022-06-20,EQ,643.65,644.95,647.45,634.2,643.0,640.9,638.61,3883001,247972561260000.0,122687,1911932,49.24,-,0,0.349
171,BHARTIARTL,2022-06-21,EQ,640.9,642.1,658.15,640.5,652.75,654.3,651.71,3515991,229139539210000.0,87152,1791464,50.95,-,0,0.349
136,HCLTECH,2022-06-20,EQ,958.75,965.0,966.0,952.1,962.2,960.05,959.35,1305407,125234615859999.98,55205,462730,35.45,-,0,0.347
137,HCLTECH,2022-06-21,EQ,960.05,971.7,999.9,963.65,987.0,986.6,986.87,2128325,210038349295000.0,85507,881971,41.44,-,0,0.347
